Expr Log Ratio,Note,ID,Symbol,Entrez Gene Name,Location,Type(s)
2.234,downstream,Gm3259,C87414 (includes others),expressed sequence C87414,Other,other
2.234,downstream,Kctd3,KCTD3,potassium channel tetramerization domain containing 3,Other,ion channel
2.234,upstream,Magi2,MAGI2,"membrane associated guanylate kinase, WW and PDZ domain containing 2",Plasma Membrane,kinase
2.234,upstream,Mir137,mir-137,microRNA 137,Cytoplasm,microRNA
2.234,upstream,Nxnl2,NXNL2,nucleoredoxin-like 2,Other,transporter
2.234,downstream,Olfr69,OR52A5,olfactory receptor family 52 subfamily A member 5,Plasma Membrane,G-protein coupled receptor
2.234,downstream,Opa1,OPA1,"OPA1, mitochondrial dynamin like GTPase",Cytoplasm,enzyme
2.234,downstream,Pcdhb1,PCDHB1,protocadherin beta 1,Plasma Membrane,other
2.234,downstream,Pdha2,Pdha2,pyruvate dehydrogenase E1 alpha 2,Cytoplasm,enzyme
2.234,inside,Ptch1,PTCH1,patched 1,Plasma Membrane,transmembrane receptor
2.234,downstream,Rpl10-ps4,Rpl10-ps4,"ribosomal protein L10, pseudogene 4",Other,other
2.234,upstream,Rps18-ps2,Rps18-ps2,"ribosomal protein S18, pseudogene 2",Other,other
2.234,upstream,Snrpc,Snrpc,U1 small nuclear ribonucleoprotein C,Nucleus,other
2.234,upstream,Zmat4,ZMAT4,zinc finger matrin-type 4,Nucleus,other
2.212,inside,Cenpo,CENPO,centromere protein O,Nucleus,other
2.212,upstream,Far2,FAR2,fatty acyl-CoA reductase 2,Cytoplasm,enzyme
2.212,inside,Gsdmcl1,Gsdmcl1,gasdermin C-like 1,Other,other
2.212,upstream,Nrsn1,NRSN1,neurensin 1,Plasma Membrane,other
2.212,downstream,Rbpsuh-rs3,Rbpsuh-rs3,"recombining binding protein suppressor of hairless (Drosophila), related sequence 3",Other,other
2.212,inside,Vps39,VPS39,"VPS39, HOPS complex subunit",Cytoplasm,transporter
2.197,inside,Bard1,BARD1,BRCA1 associated RING domain 1,Nucleus,transcription regulator
2.197,upstream,Bard1,BARD1,BRCA1 associated RING domain 1,Nucleus,transcription regulator
2.186,upstream,Gm15741,Gm15741,TRAF3 interacting protein 2 pseudogene,Other,other
2.177,downstream,Cbln4,CBLN4,cerebellin 4 precursor,Extracellular Space,other
2.171,upstream,Podnl1,PODNL1,podocan like 1,Extracellular Space,other
2.164,inside,Enpp2,ENPP2,ectonucleotide pyrophosphatase/phosphodiesterase 2,Plasma Membrane,enzyme
2.128,inside,Zswim6,ZSWIM6,zinc finger SWIM-type containing 6,Extracellular Space,other
2.119,upstream,5730507C01Rik,5730507C01Rik,RIKEN cDNA 5730507C01 gene,Other,other
2.119,upstream,5830417I10Rik,5830417I10Rik,gon-4-like pseudogene,Other,other
2.119,downstream,5930403N24Rik,5930403N24Rik,RIKEN cDNA 5930403N24 gene,Other,other
2.119,inside,Aff3,AFF3,AF4/FMR2 family member 3,Nucleus,transcription regulator
2.119,upstream,B3galnt2,B3GALNT2,"beta-1,3-N-acetylgalactosaminyltransferase 2",Cytoplasm,enzyme
2.119,upstream,Bbs5,BBS5,Bardet-Biedl syndrome 5,Cytoplasm,other
2.119,upstream,Bmp8a,BMP8A,bone morphogenetic protein 8a,Extracellular Space,cytokine
2.119,downstream,Cdk20,CDK20,cyclin dependent kinase 20,Nucleus,kinase
2.119,upstream,Chd9,CHD9,chromodomain helicase DNA binding protein 9,Cytoplasm,other
2.119,upstream,Cpa6,Cpa6,carboxypeptidase A6,Other,other
2.119,upstream,Crispld1,CRISPLD1,cysteine rich secretory protein LCCL domain containing 1,Cytoplasm,other
2.119,upstream,Cylc1,Cylc1,"cylicin, basic protein of sperm head cytoskeleton 1",Cytoplasm,other
2.119,downstream,D3Ertd751e,C4orf33,chromosome 4 open reading frame 33,Other,other
2.119,upstream,Dpt,Dpt,dermatopontin,Extracellular Space,other
2.119,inside,Dpysl3,DPYSL3,dihydropyrimidinase like 3,Cytoplasm,enzyme
2.119,inside,Dsc3,DSC3,desmocollin 3,Plasma Membrane,other
2.119,inside,Elp4,ELP4,elongator acetyltransferase complex subunit 4,Cytoplasm,other
2.119,upstream,Emilin3,EMILIN3,elastin microfibril interfacer 3,Extracellular Space,other
2.119,inside,Fgr,FGR,"FGR proto-oncogene, Src family tyrosine kinase",Nucleus,kinase
2.119,upstream,Fsd1l,FSD1L,fibronectin type III and SPRY domain containing 1 like,Other,other
2.119,downstream,Gc,GC,"GC, vitamin D binding protein",Extracellular Space,transporter
2.119,downstream,Gm10330,Gm10330,predicted gene 10330,Other,other
2.119,downstream,Gm11450,Gm11450,predicted gene 11450,Other,other
2.119,upstream,Gm13675,Gm13675,mitochondrial ribosomal protein L18 pseudogene,Other,other
2.119,upstream,Gm13866,Gm13866,predicted gene 13866,Other,other
2.119,downstream,Gm15195,Gm15195,predicted gene 15195,Other,other
2.119,upstream,Gm16294,Gm16294,predicted gene 16294,Other,other
2.119,upstream,Gm16551,Gm16551,predicted gene 16551,Other,other
2.119,inside,Gm3259,C87414 (includes others),expressed sequence C87414,Other,other
2.119,upstream,Gm3676,Gm3676/Gm8138,predicted gene 8138,Other,other
2.119,downstream,Gm6498,Gm6498,glyceraldehyde-3-phosphate dehydrogenase pseudogene,Other,other
2.119,upstream,Gm9840,RBX1,ring-box 1,Cytoplasm,enzyme
2.119,inside,Gon4l,GON4L,gon-4 like,Cytoplasm,transcription regulator
2.119,inside,Gsk3b,GSK3B,glycogen synthase kinase 3 beta,Nucleus,kinase
2.119,inside,Havcr2,HAVCR2,hepatitis A virus cellular receptor 2,Plasma Membrane,other
2.119,upstream,Inhba,INHBA,inhibin beta A subunit,Extracellular Space,growth factor
2.119,inside,Inpp5a,INPP5A,inositol polyphosphate-5-phosphatase A,Plasma Membrane,phosphatase
2.119,inside,Kcnh1,KCNH1,potassium voltage-gated channel subfamily H member 1,Plasma Membrane,ion channel
2.119,downstream,Lix1,LIX1,limb and CNS expressed 1,Other,other
2.119,upstream,Megf9,MEGF9,multiple EGF like domains 9,Extracellular Space,other
2.119,inside,Mnt,Mnt,MAX network transcriptional repressor,Nucleus,transcription regulator
2.119,upstream,Muc13,MUC13,"mucin 13, cell surface associated",Extracellular Space,other
2.119,downstream,Mup-ps14,Mup-ps14,"major urinary protein, pseudogene 14",Other,other
2.119,downstream,Nom1,NOM1,nucleolar protein with MIF4G domain 1,Nucleus,other
2.119,downstream,Olfr1406,Olfr1406,olfactory receptor 1406,Plasma Membrane,G-protein coupled receptor
2.119,upstream,Olfr49,Olfr49,olfactory receptor 49,Plasma Membrane,G-protein coupled receptor
2.119,upstream,Oxgr1,OXGR1,oxoglutarate receptor 1,Plasma Membrane,G-protein coupled receptor
2.119,upstream,Pcna-ps2,Pcna-ps2,proliferating cell nuclear antigen pseudogene 2,Other,other
2.119,downstream,Ran,RAN,"RAN, member RAS oncogene family",Nucleus,enzyme
2.119,upstream,Rassf8,RASSF8,Ras association domain family member 8,Extracellular Space,other
2.119,upstream,Rpl10,RPL10,ribosomal protein L10,Cytoplasm,other
2.119,inside,Sbsn,SBSN,suprabasin,Cytoplasm,other
2.119,downstream,Slitrk3,SLITRK3,SLIT and NTRK like family member 3,Plasma Membrane,other
2.119,inside,Smarca2,SMARCA2,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2",Nucleus,transcription regulator
2.119,upstream,Srp54c,Srp54c,signal recognition particle 54C,Other,other
2.119,downstream,Sry,Sry,sex determining region of Chr Y,Nucleus,transcription regulator
2.119,upstream,Sry,Sry,sex determining region of Chr Y,Nucleus,transcription regulator
2.119,inside,St3gal3,ST3GAL3,"ST3 beta-galactoside alpha-2,3-sialyltransferase 3",Cytoplasm,enzyme
2.119,downstream,Tmem69,TMEM69,transmembrane protein 69,Other,other
2.119,downstream,Tns1,TNS1,tensin 1,Plasma Membrane,other
2.119,inside,Top1,TOP1,topoisomerase (DNA) I,Nucleus,enzyme
2.119,downstream,Trp53inp2,TP53INP2,tumor protein p53 inducible nuclear protein 2,Nucleus,other
2.119,inside,Ube3b,UBE3B,ubiquitin protein ligase E3B,Extracellular Space,enzyme
2.119,downstream,Vmn1r209,Vmn1r214 (includes others),vomeronasal 1 receptor 214,Plasma Membrane,G-protein coupled receptor
2.119,downstream,Vmn1r48,Vmn1r47/Vmn1r48,vomeronasal 1 receptor 47,Other,other
2.119,upstream,Xlr5a,Xlr5a (includes others),X-linked lymphocyte-regulated 5A,Other,other
2.119,upstream,Zfp407,ZNF407,zinc finger protein 407,Nucleus,other
2.074,inside,Bard1,BARD1,BRCA1 associated RING domain 1,Nucleus,transcription regulator
2.064,upstream,Abcb1b,Abcb1b,"ATP-binding cassette, sub-family B (MDR/TAP), member 1B",Plasma Membrane,transporter
2.064,downstream,Gm13167,Gm13167,predicted gene 13167,Other,other
2.057,upstream,Cyp2c29,CYP2C8,cytochrome P450 family 2 subfamily C member 8,Cytoplasm,enzyme
2.057,inside,Dpf3,Dpf3,double PHD fingers 3,Nucleus,other
2.057,upstream,Galp,GALP,galanin like peptide,Extracellular Space,other
2.048,upstream,Bola1,BOLA1,bolA family member 1,Cytoplasm,other
2.048,upstream,Dcun1d3,DCUN1D3,defective in cullin neddylation 1 domain containing 3,Cytoplasm,other
2.048,upstream,Faim2,FAIM2,Fas apoptotic inhibitory molecule 2,Plasma Membrane,other
2.048,upstream,Gm10293,Gm10293,glyceraldehyde-3-phosphate dehydrogenase pseudogene,Other,other
2.048,upstream,Mapk1,MAPK1,mitogen-activated protein kinase 1,Cytoplasm,kinase
2.043,downstream,Gm16202,Gm16202,sorting nexin 4 pseudogene,Other,other
2.036,upstream,Eif4g3,EIF4G3,eukaryotic translation initiation factor 4 gamma 3,Cytoplasm,translation regulator
2.036,inside,Fam65a,RIPOR1,RHO family interacting cell polarization regulator 1,Cytoplasm,other
2.036,upstream,Insr,INSR,insulin receptor,Plasma Membrane,kinase
2.036,downstream,Kars-ps1,Kars-ps1,"lysyl-tRNA synthetase, pseudogene 1",Other,other
2.036,upstream,Klhl14,KLHL14,kelch like family member 14,Cytoplasm,other
2.036,downstream,Klrc3,Klrc2/Klrc3,"killer cell lectin-like receptor subfamily C, member 2",Plasma Membrane,transmembrane receptor
2.036,upstream,Laptm4b,LAPTM4B,lysosomal protein transmembrane 4 beta,Cytoplasm,other
2.036,downstream,Max,MAX,MYC associated factor X,Nucleus,transcription regulator
2.036,upstream,Ndufb4,NDUFB4,NADH:ubiquinone oxidoreductase subunit B4,Cytoplasm,transporter
2.036,upstream,Nkx2-5,NKX2-5,NK2 homeobox 5,Nucleus,transcription regulator
2.036,upstream,Prdx6b,Prdx6b,peroxiredoxin 6B,Cytoplasm,enzyme
2.036,upstream,Rasa1,RASA1,RAS p21 protein activator 1,Cytoplasm,transporter
2.019,inside,1600002K03Rik,C19orf24,chromosome 19 open reading frame 24,Other,other
2.019,downstream,AI593442,C11orf87,chromosome 11 open reading frame 87,Other,other
2.019,downstream,Arhgap40,ARHGAP40,Rho GTPase activating protein 40,Cytoplasm,other
2.019,downstream,Cdc73,CDC73,cell division cycle 73,Nucleus,other
2.019,inside,Cdk6,CDK6,cyclin dependent kinase 6,Nucleus,kinase
2.019,upstream,Dab2,DAB2,"DAB2, clathrin adaptor protein",Plasma Membrane,other
2.019,upstream,Ednra,EDNRA,endothelin receptor type A,Plasma Membrane,transmembrane receptor
2.019,downstream,Gins2,GINS2,GINS complex subunit 2,Nucleus,other
2.019,downstream,Gm11783,Gm11783,predicted gene 11783,Other,other
2.019,upstream,Gm14332,Gm14332,"spindlin family, member 2 pseudogene",Other,other
2.019,upstream,Gm14678,Gm14678,"tumor necrosis factor, alpha-induced protein 1 (endothelial) pseudogene",Other,other
2.019,upstream,Gm4822,Gm4822,U1 small nuclear ribonucleoprotein 1C pseudogene,Other,other
2.019,downstream,Gm5403,Gm5403,F-box protein 21 pseudogene,Other,other
2.019,inside,Mcm4,MCM4,minichromosome maintenance complex component 4,Nucleus,enzyme
2.019,inside,Pacs2,PACS2,phosphofurin acidic cluster sorting protein 2,Cytoplasm,other
2.019,upstream,Papss2,PAPSS2,3'-phosphoadenosine 5'-phosphosulfate synthase 2,Cytoplasm,enzyme
2.019,downstream,Ppp4r2,PPP4R2,protein phosphatase 4 regulatory subunit 2,Cytoplasm,other
2.019,upstream,Ptger4,PTGER4,prostaglandin E receptor 4,Plasma Membrane,G-protein coupled receptor
2.019,upstream,Rabgap1l,RABGAP1L,RAB GTPase activating protein 1 like,Cytoplasm,other
2.019,upstream,Rag2,RAG2,recombination activating 2,Nucleus,enzyme
2.019,upstream,Rbpsuh-rs3,Rbpsuh-rs3,"recombining binding protein suppressor of hairless (Drosophila), related sequence 3",Other,other
2.019,upstream,Rpl23a-ps6,Rpl23a-ps6,"ribosomal protein 23A, pseudogene 6",Other,other
2.019,downstream,Slc15a5,SLC15A5,solute carrier family 15 member 5,Other,other
2.019,upstream,Slc6a13,SLC6A13,solute carrier family 6 member 13,Plasma Membrane,transporter
2.019,downstream,Sspn,SSPN,sarcospan,Plasma Membrane,other
2.007,downstream,Atp6ap1l,Atp6ap1l,"ATPase, H+ transporting, lysosomal accessory protein 1-like",Other,other
2.003,upstream,Sh2d2a,SH2D2A,SH2 domain containing 2A,Cytoplasm,other
-2.002,upstream,Emb,EMB,embigin,Plasma Membrane,transporter
-2.002,overlapStart,Gm11569,KRTAP4-9,keratin associated protein 4-9,Cytoplasm,other
-2.002,downstream,Gm13198,Gm13198,"solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 5",Other,other
-2.002,downstream,Gm13239,Gm13239,high mobility group box 3 pseudogene,Other,other
-2.002,inside,Syt2,SYT2,synaptotagmin 2,Cytoplasm,transporter
-2.011,inside,Fyb,FYB,FYN binding protein,Nucleus,other
-2.011,inside,Ppfia2,PPFIA2,PTPRF interacting protein alpha 2,Plasma Membrane,phosphatase
-2.011,inside,Spats2,SPATS2,spermatogenesis associated serine rich 2,Cytoplasm,other
-2.03,inside,1700018B08Rik,C16orf95,chromosome 16 open reading frame 95,Other,other
-2.051,upstream,4933403O08Rik,4933403O08Rik,RIKEN cDNA 4933403O08 gene,Other,other
-2.051,downstream,9030624G23Rik,9030624G23Rik (includes others),predicted gene 9257,Cytoplasm,other
-2.051,inside,A830018L16Rik,C8orf34,chromosome 8 open reading frame 34,Other,other
-2.051,upstream,Abra,ABRA,actin binding Rho activating protein,Cytoplasm,other
-2.051,downstream,Alox12e,Alox12e,"arachidonate lipoxygenase, epidermal",Cytoplasm,enzyme
-2.051,upstream,Arap2,ARAP2,"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2",Cytoplasm,other
-2.051,downstream,Atp5l-ps1,Atp5l-ps1,"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit G, pseudogene 1",Other,other
-2.051,upstream,B3gat1,B3GAT1,"beta-1,3-glucuronyltransferase 1",Cytoplasm,enzyme
-2.051,upstream,Cblb,CBLB,Cbl proto-oncogene B,Nucleus,enzyme
-2.051,upstream,Cbx7,CBX7,chromobox 7,Nucleus,other
-2.051,downstream,Ccdc68,Ccdc68,coiled-coil domain containing 68,Other,other
-2.051,upstream,Cdh18,CDH18,cadherin 18,Plasma Membrane,other
-2.051,downstream,Cdh7,CDH7,cadherin 7,Plasma Membrane,other
-2.051,downstream,Cilp2,CILP2,cartilage intermediate layer protein 2,Extracellular Space,other
-2.051,upstream,Cntnap5a,CNTNAP5,contactin associated protein like 5,Other,other
-2.051,inside,Crp,CRP,C-reactive protein,Extracellular Space,other
-2.051,downstream,Ctla2b,Ctla2a/Ctla2b,cytotoxic T lymphocyte-associated protein 2 alpha,Plasma Membrane,other
-2.051,downstream,D3Ertd751e,C4orf33,chromosome 4 open reading frame 33,Other,other
-2.051,inside,D830044D21Rik,D830044D21Rik,RIKEN cDNA D830044D21 gene,Other,other
-2.051,upstream,Dgkk,DGKK,diacylglycerol kinase kappa,Cytoplasm,kinase
-2.051,upstream,Dok6,DOK6,docking protein 6,Cytoplasm,other
-2.051,downstream,Drosha,DROSHA,drosha ribonuclease III,Nucleus,enzyme
-2.051,downstream,Ear1,Rnase2 (includes others),ribonuclease A family member 2,Cytoplasm,enzyme
-2.051,upstream,Ear-ps2,Ear-ps2,"eosinophil-associated, ribonuclease A family, pseudogene 2",Other,other
-2.051,downstream,Fam50b,FAM50B,family with sequence similarity 50 member B,Other,other
-2.051,downstream,Gm10340,Gm10408 (includes others),predicted gene 3115,Other,other
-2.051,downstream,Gm11220,Gm11220,predicted gene 11220,Other,other
-2.051,downstream,Gm11341,Gm11341,ribosomal protein L27a pseudogene,Other,other
-2.051,downstream,Gm12133,Gm12133,ribosomal protein S2 pseudogene,Other,other
-2.051,upstream,Gm13806,Gm13806,heat shock protein 1 (chaperonin) pseudogene 20,Other,other
-2.051,upstream,Gm14981,Gm14981,crumbs homolog 1 pseudogene,Other,other
-2.051,downstream,Gm2066,Gm2066 (includes others),predicted pseudogene 2066,Other,other
-2.051,downstream,Gm2288,Gm2288,predicted gene 2288,Other,other
-2.051,downstream,Gm5934,Gm4836 (includes others),predicted gene 4836,Nucleus,other
-2.051,upstream,Gm6517,Gm6517,predicted gene 6517,Other,other
-2.051,inside,Grik2,GRIK2,glutamate ionotropic receptor kainate type subunit 2,Plasma Membrane,ion channel
-2.051,downstream,Hpgd,HPGD,hydroxyprostaglandin dehydrogenase 15-(NAD),Cytoplasm,enzyme
-2.051,inside,Mcc,MCC,mutated in colorectal cancers,Cytoplasm,other
-2.051,upstream,Mkrn3,MKRN3,makorin ring finger protein 3,Nucleus,other
-2.051,inside,Nell1,NELL1,neural EGFL like 1,Extracellular Space,growth factor
-2.051,inside,Nlgn1,NLGN1,neuroligin 1,Plasma Membrane,enzyme
-2.051,upstream,Nlrp4b,Nlrp4b,"NLR family, pyrin domain containing 4B",Other,other
-2.051,inside,Nme7,NME7,NME/NM23 family member 7,Cytoplasm,kinase
-2.051,downstream,Olfr1505,OR9I1,olfactory receptor family 9 subfamily I member 1,Plasma Membrane,G-protein coupled receptor
-2.051,upstream,Pcdh9,PCDH9,protocadherin 9,Plasma Membrane,other
-2.051,upstream,Pvr,Pvr,poliovirus receptor,Plasma Membrane,other
-2.051,inside,Satb2,SATB2,SATB homeobox 2,Nucleus,transcription regulator
-2.051,downstream,Spata4,SPATA4,spermatogenesis associated 4,Cytoplasm,other
-2.051,inside,Srd5a1,SRD5A1,steroid 5 alpha-reductase 1,Cytoplasm,enzyme
-2.051,upstream,Tmeff2,Tmeff2,transmembrane protein with EGF-like and two follistatin-like domains 2,Other,other
-2.051,upstream,Tomm70a,TOMM70,translocase of outer mitochondrial membrane 70,Cytoplasm,transporter
-2.051,downstream,Trdv1,Trdv1,T cell receptor delta variable 1,Other,other
-2.051,upstream,Vps37b,VPS37B,"VPS37B, ESCRT-I subunit",Cytoplasm,other
-2.051,inside,Xkr4,XKR4,XK related 4,Other,other
-2.051,upstream,Zfr,ZFR,zinc finger RNA binding protein,Nucleus,other
-2.091,downstream,Olfr1353,Olfr1353,olfactory receptor 1353,Plasma Membrane,G-protein coupled receptor
-2.099,upstream,Arrdc3,ARRDC3,arrestin domain containing 3,Plasma Membrane,other
-2.099,inside,Gpc5,GPC5,glypican 5,Plasma Membrane,other
-2.11,upstream,Cass4,CASS4,Cas scaffolding protein family member 4,Other,other
-2.11,downstream,Gm15073,Gm15073,crumbs homolog 1 pseudogene,Other,other
-2.11,upstream,Kcne2,KCNE2,potassium voltage-gated channel subfamily E regulatory subunit 2,Plasma Membrane,ion channel
-2.11,downstream,Zfp536,ZNF536,zinc finger protein 536,Other,transcription regulator
-2.11,upstream,Zfy2,Zfy1/Zfy2,"zinc finger protein 1, Y-linked",Nucleus,other
-2.129,downstream,4930583I09Rik,4930583I09Rik,RIKEN cDNA 4930583I09 gene,Other,other
-2.129,inside,Cdr2,CDR2,cerebellar degeneration related protein 2,Cytoplasm,other
-2.129,upstream,Cntnap5a,CNTNAP5,contactin associated protein like 5,Other,other
-2.129,inside,Dscam,DSCAM,DS cell adhesion molecule,Plasma Membrane,other
-2.129,upstream,Fads2,FADS2,fatty acid desaturase 2,Plasma Membrane,enzyme
-2.129,inside,Fam174b,FAM174B,family with sequence similarity 174 member B,Other,other
-2.129,upstream,Fbxo33,FBXO33,F-box protein 33,Other,other
-2.129,downstream,Gm10340,Gm10408 (includes others),predicted gene 3115,Other,other
-2.129,downstream,Gm12020,Gm12020,nucleolin pseudogene,Other,other
-2.129,upstream,Gm12460,Gm12460,predicted gene 12460,Other,other
-2.129,downstream,Gm12696,Gm12696,predicted gene 12696,Other,other
-2.129,downstream,Gm14957,Gm14957,predicted gene 14957,Other,other
-2.129,downstream,Gm16439,Gm16439,BCL2/adenovirus E1B interacting protein 3,Other,other
-2.129,upstream,Gm5935,Gm4836 (includes others),predicted gene 4836,Nucleus,other
-2.129,inside,Grin3a,GRIN3A,glutamate ionotropic receptor NMDA type subunit 3A,Plasma Membrane,ion channel
-2.129,inside,Lmo3,Lmo3,LIM domain only 3,Cytoplasm,other
-2.129,upstream,Lox,LOX,lysyl oxidase,Extracellular Space,enzyme
-2.129,upstream,Mir1895,Mir1895,microRNA 1895,Cytoplasm,microRNA
-2.129,upstream,Mrpl19,MRPL19,mitochondrial ribosomal protein L19,Cytoplasm,other
-2.129,downstream,Olfr1241,Olfr1241,olfactory receptor 1241,Plasma Membrane,G-protein coupled receptor
-2.129,downstream,Olfr586,Olfr586,olfactory receptor 586,Plasma Membrane,G-protein coupled receptor
-2.129,downstream,Plekhb2,PLEKHB2,pleckstrin homology domain containing B2,Other,other
-2.129,upstream,Pot1a,POT1,protection of telomeres 1,Nucleus,other
-2.129,inside,Rab28,RAB28,"RAB28, member RAS oncogene family",Plasma Membrane,enzyme
-2.129,inside,Ryr3,RYR3,ryanodine receptor 3,Plasma Membrane,ion channel
-2.129,upstream,Thrb,THRB,thyroid hormone receptor beta,Nucleus,ligand-dependent nuclear receptor
-2.129,downstream,Usp46,USP46,ubiquitin specific peptidase 46,Other,peptidase
-2.129,upstream,Vmn1r62,Vmn1r63 (includes others),vomeronasal 1 receptor 63,Other,other
-2.145,inside,Apoc2,APOC2,apolipoprotein C2,Extracellular Space,transporter
-2.145,upstream,Eml6,EML6,echinoderm microtubule associated protein like 6,Other,other
-2.145,upstream,Gm2974,Gm2974,predicted gene 2974,Other,other
-2.145,upstream,Map2k4,MAP2K4,mitogen-activated protein kinase kinase 4,Cytoplasm,kinase
-2.167,upstream,4921530L21Rik,4921530L21Rik,RIKEN cDNA 4921530L21 gene,Other,other
-2.167,downstream,Cbln2,CBLN2,cerebellin 2 precursor,Extracellular Space,other
-2.167,upstream,Gm10330,Gm10330,predicted gene 10330,Other,other
-2.167,upstream,Gm5155,Ceacam5/Gm5155,predicted gene 5155,Other,other
-2.167,inside,Rdh9,RDH16,retinol dehydrogenase 16 (all-trans),Cytoplasm,enzyme
-2.189,upstream,Vmn1r86,Vmn1r89 (includes others),vomeronasal 1 receptor 89,Plasma Membrane,G-protein coupled receptor
-2.191,downstream,Siah2,SIAH2,siah E3 ubiquitin protein ligase 2,Nucleus,transcription regulator
-2.194,inside,Mast4,MAST4,microtubule associated serine/threonine kinase family member 4,Other,kinase
-2.203,downstream,4932412D23Rik,4932412D23Rik,RIKEN cDNA 4932412D23 gene,Other,other
-2.203,inside,Ankrd42,ANKRD42,ankyrin repeat domain 42,Nucleus,transcription regulator
-2.203,upstream,Arl5b,Arl5b,ADP-ribosylation factor like GTPase 5B,Other,other
-2.203,downstream,BC061212,A430089I19Rik (includes others),uncharacterized LOC545763,Other,other
-2.203,downstream,Cenpk,CENPK,centromere protein K,Nucleus,other
-2.203,upstream,Cntnap5b,Cntnap5b,contactin associated protein-like 5B,Other,other
-2.203,upstream,Col11a1,COL11A1,collagen type XI alpha 1 chain,Extracellular Space,other
-2.203,inside,Dock4,Dock4,dedicator of cytokinesis 4,Extracellular Space,other
-2.203,downstream,Dsc3,DSC3,desmocollin 3,Plasma Membrane,other
-2.203,upstream,Gm14197,Gm14197,predicted gene 14197,Other,other
-2.203,inside,Gm14288,Gm14288 (includes others),predicted gene 14288,Other,other
-2.203,upstream,Gm14434,ZNF442,zinc finger protein 442,Nucleus,other
-2.203,upstream,Gm3298,Gm16440 (includes others),predicted gene 16440,Other,other
-2.203,downstream,Gm4918,Gm4918,"actin, beta pseudogene",Other,other
-2.203,upstream,Kat2b,KAT2B,lysine acetyltransferase 2B,Nucleus,transcription regulator
-2.203,upstream,Myocd,MYOCD,myocardin,Nucleus,transcription regulator
-2.203,upstream,Psg20,Psg18 (includes others),pregnancy specific glycoprotein 18,Extracellular Space,other
-2.203,upstream,Sfmbt2,SFMBT2,Scm-like with four mbt domains 2,Nucleus,other
-2.203,downstream,Slc30a8,SLC30A8,solute carrier family 30 member 8,Cytoplasm,transporter
-2.203,downstream,Wnt3,WNT3,Wnt family member 3,Extracellular Space,other
-2.221,upstream,St6gal2,ST6GAL2,"ST6 beta-galactoside alpha-2,6-sialyltransferase 2",Cytoplasm,enzyme
-2.229,upstream,1700048O20Rik,1700048O20Rik,RIKEN cDNA 1700048O20 gene,Other,other
-2.235,inside,Gm11623,Gm11623,predicted gene 11623,Other,other
-2.253,inside,Fndc1,FNDC1,fibronectin type III domain containing 1,Plasma Membrane,other
-2.274,inside,2610042L04Rik,2610042L04Rik,RIKEN cDNA 2610042L04 gene,Other,other
-2.274,upstream,3110018I06Rik,3110018I06Rik,RIKEN cDNA 3110018I06 gene,Other,other
-2.274,downstream,5031425E22Rik,5031425E22Rik,RIKEN cDNA 5031425E22 gene,Other,other
-2.274,downstream,5530400C23Rik,5530400C23Rik/Gm5885,predicted gene 5885,Other,other
-2.274,upstream,6330403K07Rik,LOC728392,uncharacterized LOC728392,Other,other
-2.274,upstream,Adam25,Adam25,a disintegrin and metallopeptidase domain 25 (testase 2),Other,other
-2.274,upstream,Adamtsl3,ADAMTSL3,ADAMTS like 3,Other,other
-2.274,inside,Agbl1,AGBL1,ATP/GTP binding protein like 1,Other,peptidase
-2.274,upstream,Amy2a5,AMY2B,"amylase, alpha 2B (pancreatic)",Extracellular Space,enzyme
-2.274,downstream,Angpt1,ANGPT1,angiopoietin 1,Extracellular Space,growth factor
-2.274,inside,Ankib1,ANKIB1,ankyrin repeat and IBR domain containing 1,Nucleus,transcription regulator
-2.274,upstream,Arrdc4,Arrdc4,arrestin domain containing 4,Other,other
-2.274,upstream,Arsj,ARSJ,arylsulfatase family member J,Extracellular Space,enzyme
-2.274,overlapEnd,AU041133,AU041133,expressed sequence AU041133,Other,other
-2.274,upstream,B3galnt2,B3GALNT2,"beta-1,3-N-acetylgalactosaminyltransferase 2",Cytoplasm,enzyme
-2.274,upstream,Bloc1s2,BLOC1S2,biogenesis of lysosomal organelles complex 1 subunit 2,Cytoplasm,other
-2.274,downstream,Cbln2,CBLN2,cerebellin 2 precursor,Extracellular Space,other
-2.274,upstream,Ccr9,CCR9,C-C motif chemokine receptor 9,Plasma Membrane,G-protein coupled receptor
-2.274,downstream,Cd200,CD200,CD200 molecule,Plasma Membrane,other
-2.274,downstream,Cdh19,CDH19,cadherin 19,Plasma Membrane,other
-2.274,upstream,Chrm3,CHRM3,cholinergic receptor muscarinic 3,Plasma Membrane,G-protein coupled receptor
-2.274,upstream,Creb1,CREB1,cAMP responsive element binding protein 1,Nucleus,transcription regulator
-2.274,downstream,Csl,Csl,citrate synthase like,Cytoplasm,enzyme
-2.274,inside,Cux1,CUX1,cut like homeobox 1,Nucleus,transcription regulator
-2.274,upstream,D5Ertd577e,C87414 (includes others),expressed sequence C87414,Other,other
-2.274,upstream,Ddi1,DDI1,DNA damage inducible 1 homolog 1,Other,other
